Network Name,Full Component Name,Label Name,
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_10
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_11
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_12
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_13
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_14
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_15
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_16
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_17
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_18
somatomotor A,somatomotor A,17Networks_LH_SomMotA,17Networks_LH_SomMotA_19
somatomotor B,auditory,17Networks_LH_SomMotB_Aud,17Networks_LH_SomMotB_Aud_1
somatomotor B,auditory,17Networks_LH_SomMotB_Aud,17Networks_LH_SomMotB_Aud_2
somatomotor B,insula,17Networks_LH_SomMotB_Ins,17Networks_LH_SomMotB_Ins_1
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_1
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_2
somatomotor B,auditory,17Networks_LH_SomMotB_Aud,17Networks_LH_SomMotB_Aud_3
somatomotor B,auditory,17Networks_LH_SomMotB_Aud,17Networks_LH_SomMotB_Aud_4
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_3
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_4
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_5
somatomotor B,S2,17Networks_LH_SomMotB_S2,17Networks_LH_SomMotB_S2_6
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_1
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_2
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_3
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_4
somatomotor B,central ,17Networks_LH_SomMotB_Cent,17Networks_LH_SomMotB_Cent_5
dorsal attention A,temporal occipital,17Networks_LH_DorsAttnA_TempOcc,17Networks_LH_DorsAttnA_TempOcc_1
dorsal attention A,temporal occipital,17Networks_LH_DorsAttnA_TempOcc,17Networks_LH_DorsAttnA_TempOcc_2
dorsal attention A,temporal occipital,17Networks_LH_DorsAttnA_TempOcc,17Networks_LH_DorsAttnA_TempOcc_3
dorsal attention A,temporal occipital,17Networks_LH_DorsAttnA_TempOcc,17Networks_LH_DorsAttnA_TempOcc_4
dorsal attention A,parietal occipital,17Networks_LH_DorsAttnA_ParOcc,17Networks_LH_DorsAttnA_ParOcc_1
dorsal attention A,parietal occipital,17Networks_LH_DorsAttnA_ParOcc,17Networks_LH_DorsAttnA_ParOcc_2
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_1
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_2
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_3
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_4
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_5
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_6
dorsal attention A,superior parietal lobule,17Networks_LH_DorsAttnA_SPL,17Networks_LH_DorsAttnA_SPL_7
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_1
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_2
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_3
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_4
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_5
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_6
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_7
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_8
dorsal attention B,post central,17Networks_LH_DorsAttnB_PostC,17Networks_LH_DorsAttnB_PostC_9
dorsal attention B,frontal eye fields,17Networks_LH_DorsAttnB_FEF,17Networks_LH_DorsAttnB_FEF_1
dorsal attention B,frontal eye fields,17Networks_LH_DorsAttnB_FEF,17Networks_LH_DorsAttnB_FEF_2
